Feeding_guild,Taxon,Site,Group,Group_Nr,d13C,d15N
SDF,Polycirrus_sp,Elephants,Polsp1,15,-17.2,8.7
SDF,Polycirrus_sp,Elephants,Polsp1,15,-18.7,7.3
SDF,Polycirrus_sp,Elephants,Polsp1,15,-16.9,8.2
SDF,Polycirrus_sp,Elephants,Polsp1,15,-16.5,8.8
SDF,Polycirrus_sp,Elephants,Polsp1,15,-16.4,8.1
SDF,Polycirrus_sp,Elephants,Polsp1,15,-16.4,10.3
SDF,Polycirrus_sp,Lion,Polsp2,16,-18.4,7.5
SDF,Polycirrus_sp,Lion,Polsp2,16,-15.8,6.2
SDF,Polycirrus_sp,Lion,Polsp2,16,-17.0,7.8
SDF,Polycirrus_sp,Lion,Polsp2,16,-16.6,9.9
SDF,Polycirrus_sp,Lion,Polsp2,16,-16.5,8.1
SDF,Polycirrus_sp,Lion,Polsp2,16,-15.7,6.2
SDF,Polycirrus_sp,Lion,Polsp2,16,-15.6,6.9
SDF,Staurocucumis_sp,Elephants,Stasp1,17,-24.3,7.5
SDF,Staurocucumis_sp,Elephants,Stasp1,17,-23.2,5.7
SDF,Staurocucumis_sp,Elephants,Stasp1,17,-25.3,5.2
SDF,Staurocucumis_sp,Elephants,Stasp1,17,-23.8,5.0
SDF,Staurocucumis_sp,Elephants,Stasp1,17,-23.9,5.4
SDF,Staurocucumis_sp,Elephants,Stasp1,17,-24.1,6.5
SDF,Staurocucumis_sp,Elephants,Stasp1,17,-23.9,5.6
SDF,Staurocucumis_sp,Elephants,Stasp1,17,-26.4,6.2
SDF,Staurocucumis_sp,Elephants,Stasp1,17,-25.3,6.1
SDF,Staurocucumis_sp,Elephants,Stasp1,17,-23.7,5.7
SDF,Staurocucumis_sp,Elephants,Stasp1,17,-23.3,5.4
SDF,Staurocucumis_sp,Elephants,Stasp1,17,-23.6,7.4
SDF,Staurocucumis_sp,Lion,Stasp2,18,-24.3,5.7
SDF,Staurocucumis_sp,Lion,Stasp2,18,-25.2,7.7
SDF,Staurocucumis_sp,Lion,Stasp2,18,-25.6,5.6
SDF,Staurocucumis_sp,Lion,Stasp2,18,-23.5,8.4
SDF,Staurocucumis_sp,Lion,Stasp2,18,-23.8,6.6
SDF,Staurocucumis_sp,Lion,Stasp2,18,-24.1,8.4
SDF,Staurocucumis_sp,Lion,Stasp2,18,-24.1,6.5
Grazer,Sterechinus_neumayeri,Elephants,Steneu1,19,-14.1,6.7
Grazer,Sterechinus_neumayeri,Elephants,Steneu1,19,-17.6,6.0
Grazer,Sterechinus_neumayeri,Elephants,Steneu1,19,-13.1,6.6
Grazer,Sterechinus_neumayeri,Elephants,Steneu1,19,-14.4,7.0
Grazer,Sterechinus_neumayeri,Elephants,Steneu1,19,-17.7,6.1
Grazer,Sterechinus_neumayeri,Elephants,Steneu1,19,-14.6,8.1
Grazer,Sterechinus_neumayeri,Elephants,Steneu1,19,-13.9,7.9
Grazer,Sterechinus_neumayeri,Elephants,Steneu1,19,-14.9,7.9
Grazer,Sterechinus_neumayeri,Elephants,Steneu1,19,-12.4,7.6
Grazer,Sterechinus_neumayeri,Elephants,Steneu1,19,-16.1,6.6
Grazer,Sterechinus_neumayeri,Elephants,Steneu1,19,-14.8,6.9
Grazer,Sterechinus_neumayeri,Elephants,Steneu1,19,-15.0,6.8
Grazer,Sterechinus_neumayeri,Elephants,Steneu1,19,-13.4,7.6
Grazer,Sterechinus_neumayeri,Elephants,Steneu1,19,-14.9,7.5
Grazer,Sterechinus_neumayeri,Elephants,Steneu1,19,-14.2,7.2
Grazer,Sterechinus_neumayeri,Lion,Steneu2,20,-13.8,8.1
Grazer,Sterechinus_neumayeri,Lion,Steneu2,20,-14.5,7.2
Grazer,Sterechinus_neumayeri,Lion,Steneu2,20,-14.2,6.8
Grazer,Sterechinus_neumayeri,Lion,Steneu2,20,-14.7,7.4
Grazer,Sterechinus_neumayeri,Lion,Steneu2,20,-13.3,6.7
Grazer,Sterechinus_neumayeri,Lion,Steneu2,20,-13.4,8.3
